      0		idle		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
      1		idle		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
      2		reset		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
    192		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0001		
    193		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0010		
    194		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0011		
    195		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0100		
    196		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0101		
    197		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0110		
    198		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0111		
    199		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1000		
    200		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1001		
    201		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1010		
    202		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1011		
    203		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1100		
    204		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1101		
    205		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1110		
    206		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		1111		
    207		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0000		
    208		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0001		
    209		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0010		
    210		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0011		
    211		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0100		
    212		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0101		
    213		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0110		
    214		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		0111		
    215		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1000		
    216		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1001		
    217		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1010		
    218		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1011		
    219		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1100		
    220		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1101		
    221		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1110		
    222		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1100		1111		
    223		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0000		
    224		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0001		
    225		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0010		
    226		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0011		
    227		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0100		
    228		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0101		
    229		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0110		
    230		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		0111		
    231		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1000		
    232		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1001		
    233		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1010		
    234		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1011		
    235		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1100		
    236		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1101		
    237		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1110		
    238		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1101		1111		
    239		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0000		
    240		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0001		
    241		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0010		
    242		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0011		
    243		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0100		
    244		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0101		
    245		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0110		
    246		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		0111		
    247		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1000		
    248		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1001		
    249		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1010		
    250		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1011		
    251		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1100		
    252		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1101		
    253		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1110		
    254		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1110		1111		
    255		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0000		
    256		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0001		
    257		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0010		
    258		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0011		
    259		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0100		
    260		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0101		
    261		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0110		
    262		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		0111		
    263		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1000		
    264		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1001		
    265		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1010		
    266		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1011		
    267		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1100		
    268		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1101		
    269		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1110		
    270		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1111		1111		
    271		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0000		
    272		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0001		
    273		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0010		
    274		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0011		
    275		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0100		
    276		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0101		
    277		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0110		
    278		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		0111		
    279		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1000		
    280		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1001		
    281		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1010		
    282		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1011		
    283		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1100		
    284		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1101		
    285		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1110		
    286		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0000		1111		
    287		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0000		
    288		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0001		
    289		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0010		
    290		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0011		
    291		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0100		
    292		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0101		
    293		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0110		
    294		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		0111		
    295		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1000		
    296		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1001		
    297		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1010		
    298		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1011		
    299		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1100		
    300		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1101		
    301		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1110		
    302		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0001		1111		
    303		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0000		
    304		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0001		
    305		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0010		
    306		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0011		
    307		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0100		
    308		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0101		
    309		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0110		
    310		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		0111		
    311		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1000		
    312		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1001		
    313		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1010		
    314		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1011		
    315		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1100		
    316		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1101		
    317		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1110		
    318		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0010		1111		
    319		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0001		0011		0000		
